T,C,S,N,D,OBJ,CTX,time,userAgent,
820.90,174.00,378.90,268.00,2982.85,2893.85,89.00,2012-3-16 21:44:50,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
842.30,178.50,379.70,284.10,2982.85,2893.85,89.00,2012-3-16 21:45:06,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
888.80,166.00,378.50,344.30,2982.85,2893.85,89.00,2012-3-16 21:45:24,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
851.80,181.40,423.00,247.40,2982.85,2893.85,89.00,2012-3-16 22:39:20,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
717.60,160.80,349.20,207.60,2982.85,2893.85,89.00,2012-3-16 22:39:39,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
783.10,204.40,357.50,221.20,2982.85,2893.85,89.00,2012-3-16 22:40:03,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
775.50,190.80,360.30,224.40,2982.85,2893.85,89.00,2012-3-16 22:40:34,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
820.70,196.20,382.40,242.10,2982.85,2893.85,89.00,2012-3-16 22:41:36,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
691.80,43.70,403.40,244.70,2982.85,2893.85,89.00,2012-3-16 22:43:52,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
590.80,45.80,345.10,199.90,2982.85,2893.85,89.00,2012-3-16 22:44:12,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
